task,task_no,source
"prepare comprehensive written reports, presentations, maps, or charts based on research, collection, and analysis of intelligence data.","Utarbeide omfattende skriftlige rapporter, presentasjoner, kart eller diagrammer basert på innsamling og analyse av etterretningsdata.",manual 2026-09-07
"gather intelligence information by field observation, confidential information sources, or public records.","Innhente etterretningsinformasjon gjennom observasjon i felt, fortrolige kilder og offentlige registre.",manual 2026-09-07
"manage security programs designed to protect personnel, facilities, and information.","Lede sikkerhetsprogrammer som skal beskytte personell, anlegg og informasjon.",manual 2026-09-07
"design, use, or maintain databases and software applications, such as geographic information systems (gis) mapping and artificial intelligence tools.","Utforme, bruke og vedlikeholde databaser og programvare, som geografiske informasjonssystemer (GIS) og KI-verktøy.",manual 2026-09-07
"examine immigration applications, visas, and passports and interview persons to determine eligibility for admission, residence, and travel in the u.s.","Kontrollere innvandringssøknader, visum og pass, og intervjue personer for å avgjøre om de har rett til innreise, opphold og reise i USA.",manual 2026-09-07
"gather, analyze, correlate, or evaluate information from a variety of resources, such as law enforcement databases.","Innhente, analysere, sammenstille og vurdere informasjon fra ulike kilder, som politiets databaser.",manual 2026-09-07
analyze completed police reports to determine what additional information and investigative work is needed.,Analysere ferdige politirapporter for å avgjøre hvilken tilleggsinformasjon og etterforskning som trengs.,manual 2026-09-07
"develop defense plans or tactics, using intelligence and other information.",Utarbeide forsvarsplaner eller taktikk basert på etterretning og annen informasjon.,manual 2026-09-07
"operate cameras, radios, or other surveillance equipment to intercept communications or document activities.","Betjene kameraer, radioer og annet overvåkingsutstyr for å avlytte kommunikasjon eller dokumentere aktiviteter.",manual 2026-09-07
examine records to locate links in chains of evidence or information.,Gjennomgå dokumenter for å finne sammenhenger i bevis- eller informasjonskjeder.,manual 2026-09-07
"summarize pertinent legal or insurance details, or sections of statutes or case law from reference books so that they can be used in examinations, or as proofs or ready reference.","Sammenfatte relevante juridiske eller forsikringsmessige opplysninger, lovbestemmelser og rettspraksis fra oppslagsverk til bruk i avhør, som bevis eller som oppslag.",manual 2026-09-07
"copy or summarize recorded documents, such as mortgages, trust deeds, and contracts, that affect property titles.","Kopiere eller sammenfatte tinglyste dokumenter som pantedokumenter, skjøter og kontrakter som påvirker eiendomsretten.",manual 2026-09-07
"gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents.","Samle inn og analysere rettskilder som lover, rettsavgjørelser, juridiske artikler, forskrifter og dokumenter.",manual 2026-09-07
"prepare real estate closing statements, using knowledge and expertise in real estate procedures.",Utarbeide oppgjørsoppstillinger for eiendomshandler ved hjelp av kunnskap om eiendomsoppgjør.,manual 2026-09-07
"obtain and analyze information on suspects, crimes, or disturbances to solve cases, to identify criminal activity, or to gather information for court cases.","Innhente og analysere informasjon om mistenkte, lovbrudd og ordensforstyrrelser for å oppklare saker, avdekke kriminell aktivitet eller samle bevis til rettssaker.",manual 2026-09-07
enter into record-keeping systems appropriate data needed to create new title records or update existing ones.,Registrere nødvendige opplysninger i registersystemer for å opprette nye eller oppdatere eksisterende hjemmelsregistre.,manual 2026-09-07
"review complaints, petitions, motions, or pleadings that have been filed to determine issues involved or basis for relief.","Gjennomgå innleverte stevninger, begjæringer, prosesskriv og tilsvar for å klarlegge tvistetemaene og grunnlaget for kravet.",manual 2026-09-07
"research laws, court decisions, documents, opinions, briefs, or other information related to cases before the court.","Undersøke lover, rettsavgjørelser, dokumenter, betenkninger, prosesskriv og annen informasjon knyttet til saker for retten.",manual 2026-09-07
"assess performance following athletic competition, identifying strengths and weaknesses and making adjustments to improve future performance.","Vurdere prestasjonen etter konkurranser, finne styrker og svakheter og gjøre justeringer for å forbedre fremtidige prestasjoner.",manual 2026-09-07
"plan, organize, and conduct practice sessions.","Planlegge, organisere og lede treningsøkter.",manual 2026-09-07
respond to customer inquiries or complaints.,Besvare henvendelser og klager fra kunder.,manual 2026-09-07
apply customer feedback to service improvement efforts.,Bruke tilbakemeldinger fra kunder til å forbedre tjenestene.,manual 2026-09-07
develop or implement marketing strategies.,Utvikle eller gjennomføre markedsstrategier.,manual 2026-09-07
"perform general administrative tasks, such as keeping records or writing reports.",Utføre alminnelige administrative oppgaver som å føre registre og skrive rapporter.,manual 2026-09-07
resolve customer complaints regarding worker performance or services rendered.,Håndtere kundeklager på ansattes arbeid eller utførte tjenester.,manual 2026-09-07
maintain client databases.,Vedlikeholde kundedatabaser.,manual 2026-09-07
furnish customers with information on events or activities.,Gi kunder informasjon om arrangementer og aktiviteter.,manual 2026-09-07
plan or direct spa services and programs.,Planlegge eller lede spatjenester og -programmer.,manual 2026-09-07
"manipulate and enhance scanned or digital images to create desired effects, using computers and specialized software.","Bearbeide og forbedre skannede eller digitale bilder for å oppnå ønskede effekter, ved hjelp av datamaskin og spesialprogramvare.",manual 2026-09-07
"determine desired images and picture composition, selecting and adjusting subjects, equipment, and lighting to achieve desired effects.","Bestemme ønsket motiv og bildekomposisjon, og velge og justere motiv, utstyr og lys for å oppnå ønskede effekter.",manual 2026-09-07
review sets of photographs to select the best work.,Gå gjennom bildeserier for å velge ut de beste bildene.,manual 2026-09-07
"transfer photographs to computers for editing, archiving, and electronic transmission.","Overføre fotografier til datamaskin for redigering, arkivering og elektronisk forsendelse.",manual 2026-09-07
examine objects to be included in exhibits in order to plan where and how to display them.,Undersøke gjenstander som skal inngå i utstillinger for å planlegge hvor og hvordan de skal vises.,manual 2026-09-07
retrieve information from central databases for storage in a library's computer.,Hente informasjon fra sentrale databaser for lagring i bibliotekets datasystem.,manual 2026-09-07
"conduct reference searches, using printed materials and in-house and online databases.","Utføre referansesøk i trykte kilder, interne databaser og nettdatabaser.",manual 2026-09-07
